
2023/07/24 (14:15:55) | ===> btop++ v.1.2.13
2023/07/24 (14:15:55) | INFO: Logger set to INFO
2023/07/24 (14:15:56) | INFO: Logger set to INFO

2023/07/26 (16:45:57) | ===> btop++ v.1.2.13
2023/07/26 (16:45:57) | ERROR: Failed to get size of terminal!

2023/07/26 (16:45:58) | ===> btop++ v.1.2.13
2023/07/26 (16:45:58) | ERROR: Failed to get size of terminal!

2024/01/09 (22:51:32) | ===> btop++ v.1.3.0
2024/01/09 (22:51:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/09 (23:25:32) | ===> btop++ v.1.3.0
2024/01/09 (23:25:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/09 (23:33:12) | ===> btop++ v.1.3.0
2024/01/09 (23:33:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/10 (00:04:58) | ===> btop++ v.1.3.0
2024/01/10 (00:04:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/21 (15:54:10) | ===> btop++ v.1.3.0
2024/01/21 (15:54:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (16:55:05) | ===> btop++ v.1.3.0
2024/01/25 (16:55:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (16:55:28) | ===> btop++ v.1.3.0
2024/01/25 (16:55:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (16:55:44) | ===> btop++ v.1.3.0
2024/01/25 (16:55:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/27 (01:07:55) | ===> btop++ v.1.3.0
2024/01/27 (01:07:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (20:38:24) | ===> btop++ v.1.3.2
2024/02/23 (20:38:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (17:47:23) | ===> btop++ v.1.3.2
2024/02/27 (17:47:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/07 (22:08:38) | ===> btop++ v.1.3.2
2024/03/07 (22:08:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/07 (22:09:03) | ===> btop++ v.1.3.2
2024/03/07 (22:09:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/07 (22:17:18) | ===> btop++ v.1.3.2
2024/03/07 (22:17:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/07 (22:18:16) | ===> btop++ v.1.3.2
2024/03/07 (22:18:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/27 (23:32:32) | ===> btop++ v.1.3.2
2024/04/27 (23:32:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/28 (13:45:50) | ===> btop++ v.1.3.2
2024/04/28 (13:45:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/28 (19:03:42) | ===> btop++ v.1.3.2
2024/04/28 (19:03:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/01 (18:57:13) | ===> btop++ v.1.3.2
2024/05/01 (18:57:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/02 (16:22:57) | ===> btop++ v.1.3.2
2024/05/02 (16:22:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/02 (16:23:05) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:23:10) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:23:16) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:23:21) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:23:26) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:23:32) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:23:38) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:23:43) | ERROR: Stall in Runner thread, restarting!

2024/05/02 (16:23:47) | ===> btop++ v.1.3.2
2024/05/02 (16:23:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/02 (16:23:49) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:23:55) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:01) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:07) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:13) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:19) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:25) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:31) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:37) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:43) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:49) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:24:55) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:25:01) | ERROR: Stall in Runner thread, restarting!
2024/05/02 (16:25:07) | ERROR: Stall in Runner thread, restarting!

2024/05/02 (17:44:12) | ===> btop++ v.1.3.2
2024/05/02 (17:44:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
